Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
221,San Diego State,1969,2023,55,652,360,284,8,.558,16,7,9,0,.438,-0.09,-2.02,3,9,record adjusted to 362-282-8 by NCAA
222,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
223,San Jose State,1950,2023,74,826,364,444,14,.451,11,5,6,0,.455,-5.48,-3.47,2,9,record adjusted to 362-447-13 by NCAA
224,Santa Clara,1932,1952,18,163,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
225,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
226,Sewanee,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.56,0.28,0,0,
227,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
228,SMU,1916,2023,106,1149,534,561,54,.488,19,7,11,1,.395,2.12,2.50,12,11,record adjusted to 530-555-54 by NCAA
229,South Alabama,2012,2023,12,148,60,88,0,.405,4,1,3,0,.250,-7.69,-4.44,0,0,
230,South Carolina,1903,2023,116,1230,601,580,41,.509,25,10,15,0,.400,2.15,1.87,10,1,record adjusted to 602-579-41 by NCAA
231,South Florida,2000,2023,24,289,148,141,0,.512,11,7,4,0,.636,-1.31,-1.77,2,0,
232,Southern,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
233,Southern Illinois,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
234,Southern Mississippi,1963,2023,61,705,380,318,6,.544,23,12,11,0,.522,-0.35,-1.98,3,5,record adjusted to 382-316-6 by NCAA
235,Southwestern (TX),1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
236,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
237,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
238,Stanford,1918,2023,103,1113,596,479,34,.553,29,15,13,1,.534,6.43,4.87,20,14,
239,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
240,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.68,-0.98,0,0,
241,Syracuse,1899,2023,122,1268,698,527,41,.568,28,16,11,1,.589,4.11,1.27,15,5,record adjusted to 687-527-41 by NCAA
242,Tampa,1966,1974,7,73,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
243,Temple,1930,2023,76,810,340,444,26,.436,9,3,6,0,.333,-3.35,-0.97,1,1,record adjusted to 335-449-26 by NCAA
244,Tennessee,1902,2023,119,1302,851,396,51,.675,56,31,25,0,.554,10.08,3.63,46,13,record adjusted to 852-396-50 by NCAA
245,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-9.28,2.06,0,0,
